,product_id,url,brandname,discountprice (in rs),originalprice (in rs),discountoffer
0,2296012,https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-mid-rise-clean-look-jeans/2296012/buy,Roadster,824.0,1499,45% OFF
1,13780156,https://www.myntra.com/track-pants/locomotive/locomotive-men-black--white-solid-slim-fit-track-pants/13780156/buy,LOCOMOTIVE,517.0,1149,55% OFF
2,11895958,https://www.myntra.com/shirts/roadster/roadster-men-navy-white--black-geometric-printed-sustainable-casual-shirt/11895958/buy,Roadster,629.0,1399,55% OFF
3,4335679,https://www.myntra.com/shapewear/zivame/zivame-women-black-saree-shapewear-zi3023core0nude/4335679/buy,Zivame,893.0,1295,31% OFF
4,11690882,https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-v-neck-pure-cotton-t-shirt/11690882/buy,Roadster,,599,35% OFF
5,2490950,https://www.myntra.com/tops/mast--harbour/mast--harbour-women-yellow-solid-tank-top/2490950/buy,Mast & Harbour,,599,40% OFF
6,6744434,https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-solid-regular-trousers/6744434/buy,HIGHLANDER,599.0,1499,60% OFF
7,8439415,https://www.myntra.com/tops/mayra/mayra-pink-embroidered-a-line-pure-cotton-top/8439415/buy,Mayra,,1395,58% OFF
8,17381394,https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-solid-t-shirts/17381394/buy,Roadster,,1098,
9,2359257,https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-clean-look-ankle-length-stretchable-jeans/2359257/buy,HERE&NOW,,2749,
